File,Date,SiteID
hl411y97.hyd,1997-05-11T00:00:00Z,HL4
hl412u97.hyd,1997-06-12T00:00:00Z,HL4
hl411l97.hyd,1997-07-11T00:00:00Z,HL4
hl415g97.hyd,1997-08-15T00:00:00Z,HL4
hl408s97.hyd,1997-09-08T00:00:00Z,HL4
hl424o97.hyd,1997-10-24T00:00:00Z,HL4
hl414n97.hyd,1997-11-14T00:00:00Z,HL4
hl430a98.hyd,1998-04-30T00:00:00Z,HL4
hl426u98.hyd,1998-06-26T00:00:00Z,HL4
hl430l98.hyd,1998-07-30T00:00:00Z,HL4
hl403o98.hyd,1998-10-03T00:00:00Z,HL4
hl420o98.hyd,1998-10-20T00:00:00Z,HL4
hl419n98.hyd,1998-11-19T00:00:00Z,HL4
hl404j99.hyd,1999-01-04T00:00:00Z,HL4
hl419m99.hyd,1999-03-19T00:00:00Z,HL4
hl414y99.hyd,1999-05-14T00:00:00Z,HL4
hl411u99.hyd,1999-06-11T00:00:00Z,HL4
hl412l99.hyd,1999-07-12T00:00:00Z,HL4
hl416s99.hyd,1999-09-16T00:00:00Z,HL4
hl404o99.hyd,1999-10-04T00:00:00Z,HL4
hl426n99.hyd,1999-11-26T00:00:00Z,HL4
hl311y97.hyd,1997-05-11T00:00:00Z,HL3
hl312u97.hyd,1997-06-12T00:00:00Z,HL3
hl310l97.hyd,1997-07-10T00:00:00Z,HL3
hl314g97.hyd,1997-08-14T00:00:00Z,HL3
hl308s97.hyd,1997-09-08T00:00:00Z,HL3
hl323o97.hyd,1997-10-23T00:00:00Z,HL3
hl314n97.hyd,1997-11-14T00:00:00Z,HL3
hl329j98.hyd,1998-01-29T00:00:00Z,HL3
hl323m98.hyd,1998-03-23T00:00:00Z,HL3
hl330a98.hyd,1998-04-30T00:00:00Z,HL3
hl329y98.hyd,1998-05-29T00:00:00Z,HL3
hl325u98.hyd,1998-06-25T00:00:00Z,HL3
hl329l98.hyd,1998-07-29T00:00:00Z,HL3
hl326g98.hyd,1998-08-26T00:00:00Z,HL3
hl302o98.hyd,1998-10-02T00:00:00Z,HL3
hl320o98.hyd,1998-10-20T00:00:00Z,HL3
hl319n98.hyd,1998-11-19T00:00:00Z,HL3
hl303j99.hyd,1999-01-03T00:00:00Z,HL3
hl319m99.hyd,1999-03-19T00:00:00Z,HL3
hl314a99.hyd,1999-04-14T00:00:00Z,HL3
hl313y99.hyd,1999-05-13T00:00:00Z,HL3
hl310u99.hyd,1999-06-10T00:00:00Z,HL3
hl312l99.hyd,1999-07-12T00:00:00Z,HL3
hl316s99.hyd,1999-09-16T00:00:00Z,HL3
hl304o99.hyd,1999-10-04T00:00:00Z,HL3
hl326n99.hyd,1999-11-26T00:00:00Z,HL3
hl208y97.hyd,1997-05-08T00:00:00Z,HL2
hl209u97.hyd,1997-06-09T00:00:00Z,HL2
hl207l97.hyd,1997-07-07T00:00:00Z,HL2
hl211g97.hyd,1997-08-11T00:00:00Z,HL2
hl210s97.hyd,1997-09-10T00:00:00Z,HL2
hl221o97.hyd,1997-10-21T00:00:00Z,HL2
hl210n97.hyd,1997-11-10T00:00:00Z,HL2
hl227j98.hyd,1998-01-27T00:00:00Z,HL2
hl227a98.hyd,1998-04-27T00:00:00Z,HL2
hl225y98.hyd,1998-05-25T00:00:00Z,HL2
hl221u98.hyd,1998-06-21T00:00:00Z,HL2
hl226l98.hyd,1998-07-26T00:00:00Z,HL2
hl223g98.hyd,1998-08-23T00:00:00Z,HL2
hl228s98.hyd,1998-09-28T00:00:00Z,HL2
hl222o98.hyd,1998-10-22T00:00:00Z,HL2
hl216n98.hyd,1998-11-16T00:00:00Z,HL2
