File,Date,SiteID
kf5Nov03_2008.cnv,2008-11-03,KL5
kf7Nov03_2008.cnv,2008-11-03,KL7
KL1_01June2015.cnv,2015-06-01,KL1
KL1_04May2015.cnv,2015-05-04,KL1
KL1_07Apr2015.cnv,2015-04-07,KL1
KL1_26Oct2015.cnv,2015-10-26,KL1
KL1_27Jul2015.cnv,2015-07-27,KL1
KL1_28Aug2015.cnv,2015-08-28,KL1
KL1_28Sep2015.cnv,2015-09-28,KL1
KL1_2Sept_2014.xlsx,2014-09-02,KL1
KL1_Jun4_2014.xlsx,2014-06-04,KL1
KL1_June15_2010.cnv,2015-06-15,KL1
KL1_June29_2015.cnv,2015-06-29,KL1
KL1_Oct28_2013.cnv,2013-10-28,KL1
KL_Oct_2013002.cnv,2013-09-25,KL1
KL1_Sep29_2014.xlsx,2014-09-29,KL1
KL2_01June2015.cnv,2015-06-01,KL2
KL2_04May2015.cnv,2015-05-04,KL2
KL2_07Apr2015.cnv,2015-04-07,KL2
KL2_26Oct2015.cnv,2015-10-26,KL2
KL2_27Jul2015.cnv,2015-07-27,KL2
KL2_28Aug2015.cnv,2015-08-28,KL2
KL2_28Sep2015.cnv,2015-09-28,KL2
KL2_2Sept_2014.xlsx,2014-09-02,KL2
KL2_Jun4_2014.xlsx,2014-06-04,KL2
KL2_June15_2011.cnv,2015-06-15,KL2
KL2_June29_2015.cnv,2015-06-29,KL2
kl2_nov02_2009.cnv,2009-11-02,KL2
KL2_Oct28_2013.cnv,2013-10-28,KL2
KL_Oct_2013003.cnv,2013-09-25,KL2
KL2_Sep29_2014.xlsx,2014-09-29,KL2
kl2aug2008.cnv,2008-08-05,KL2
kl2jul2010.cnv,2010-07-07,KL2
kl2jun2009.cnv,2009-06-08,KL2
kl2may2009.cnv,2009-05-04,KL2
KL2nov012010.cnv,2010-11-01,KL2
KL2Oct082008.cnv,2008-10-08,KL2
kl2sep022008.cnv,2008-09-02,KL2
KL2sep2009.cnv,2009-08-31,KL2
kl2sep27.2010.cnv,2010-09-27,KL2
KL3_01June2015.cnv,2015-06-01,KL3
KL3_04May2015.cnv,2015-05-04,KL3
KL3_07Apr2015.cnv,2015-04-07,KL3
KL3_26Oct2015.cnv,2015-10-26,KL3
KL3_27Jul2015.cnv,2015-07-27,KL3
KL3_28Aug2015.cnv,2015-08-28,KL3
KL3_28Sep2015.cnv,2015-09-28,KL3
KL3_2Sept_2014.xlsx,2014-09-02,KL3
KL3_Jun4_2014.xlsx,2014-06-04,KL3
KL3_June15_012.cnv,2015-06-15,KL3
KL3_June29_2015.cnv,2015-06-29,KL3
kl3_nov02_2009.cnv,2009-11-02,KL3
KL3_Oct28_2013.cnv,2013-10-28,KL3
KL_Oct_2013004.cnv,2013-09-25,KL3
KL3_Sep29_2014.xlsx,2014-09-29,KL3
kl3aug2008.cnv,2008-08-05,KL3
kl3jul2010.cnv,2010-07-07,KL3
kl3jun2009.cnv,2009-06-08,KL3
kl3may2009.cnv,2009-05-04,KL3
KL3nov01.2010.cnv,2010-11-01,KL3
KL3Oct082008.cnv,2008-10-08,KL3
kl3sep022008.cnv,2008-09-02,KL3
KL3sep2009.cnv,2009-08-31,KL3
