Taxa,Genus,ClassName,ClassAlias
Meloreira cf distans,Meloreira,Bacillariophyta,Diatoms
Melosira distans var2,Melosira,Bacillariophyta,Diatoms
Melosira granulata,Melosira,Bacillariophyta,Diatoms
Tryblionella cf debilis,Tryblionella,"Bacillariophyta, Chlorophyta","Diatoms, Coccoid Greens, Desmids, etc."
Aulomonas purdyi,Aulomonas,"Bacillariophyta, Chrysophyta","Diatoms, flagellates"
Chrysospharella longispina,Chrysospharella,"Bacillariophyta, Chrysophyta","Diatoms, flagellates"
Achnanthes cf exiqua,Achnanthes,Bacillariophyte,Diatoms
Achnanthes minutissima,Achnanthes,Bacillariophyte,Diatoms
Achnanthes sp,Achnanthes,Bacillariophyte,Diatoms
Achnanthes sp 1,Achnanthes,Bacillariophyte,Diatoms
Achnanthes sp 2,Achnanthes,Bacillariophyte,Diatoms
Achnanthes sp girdle view,Achnanthes,Bacillariophyte,Diatoms
Achnanthes sp2,Achnanthes,Bacillariophyte,Diatoms
Achnanthidium sp,Achnanthidium,Bacillariophyte,Diatoms
Amphora,Amphora,Bacillariophyte,Diatoms
Amphora (small),Amphora,Bacillariophyte,Diatoms
Amphora inariensis,Amphora,Bacillariophyte,Diatoms
Amphora sp,Amphora,Bacillariophyte,Diatoms
Asterionella formosa,Asterionella,Bacillariophyte,Diatoms
Asterionella formosa var1,Asterionella,Bacillariophyte,Diatoms
Aulacoseira granulata,Aulacoseira,Bacillariophyte,Diatoms
Aulacoseira italica,Aulacoseira,Bacillariophyte,Diatoms
Aulacoseira sp 1,Aulacoseira,Bacillariophyte,Diatoms
Aulacoseira sp 2,Aulacoseira,Bacillariophyte,Diatoms
Aulicoseira distans,Aulicoseira,Bacillariophyte,Diatoms
Aulicoseira distans var2,Aulicoseira,Bacillariophyte,Diatoms
Aulicoseira italica,Aulicoseira,Bacillariophyte,Diatoms
Aulicoseira italica var1,Aulicoseira,Bacillariophyte,Diatoms
Ceratoneis sp,Ceratoneis,Bacillariophyte,Diatoms
Cocconeis placentula,Cocconeis,Bacillariophyte,Diatoms
Cocconeis sp,Cocconeis,Bacillariophyte,Diatoms
Cyclo/Stephano sp,Cyclo/Stephano,Bacillariophyte,Diatoms
Cyclo/Stephano sp 2,Cyclo/Stephano,Bacillariophyte,Diatoms
Cyclo/Stephano sp 3,Cyclo/Stephano,Bacillariophyte,Diatoms
Cyclo/Stephano sp 4,Cyclo/Stephano,Bacillariophyte,Diatoms
Cyclotella bodanica,Cyclotella,Bacillariophyte,Diatoms
Cyclotella comensis,Cyclotella,Bacillariophyte,Diatoms
Cyclotella comta,Cyclotella,Bacillariophyte,Diatoms
Cyclotella comta var2,Cyclotella,Bacillariophyte,Diatoms
Cyclotella glomerata,Cyclotella,Bacillariophyte,Diatoms
Cyclotella meneghiniana,Cyclotella,Bacillariophyte,Diatoms
Cyclotella ocelata,Cyclotella,Bacillariophyte,Diatoms
Cyclotella sp,Cyclotella,Bacillariophyte,Diatoms
Cyclotella sp 1,Cyclotella,Bacillariophyte,Diatoms
Cyclotella sp 2,Cyclotella,Bacillariophyte,Diatoms
Cyclotella sp 3,Cyclotella,Bacillariophyte,Diatoms
Cyclotella sp 4,Cyclotella,Bacillariophyte,Diatoms
Cyclotella sp 7,Cyclotella,Bacillariophyte,Diatoms
Cyclotella sp3,Cyclotella,Bacillariophyte,Diatoms
Cyclotella stelligera,Cyclotella,Bacillariophyte,Diatoms
Cyclotella stelligera var3,Cyclotella,Bacillariophyte,Diatoms
Cymbella cf silesiaca,Cymbella,Bacillariophyte,Diatoms
Cymbella minuta,Cymbella,Bacillariophyte,Diatoms
Cymbella parva,Cymbella,Bacillariophyte,Diatoms
Cymbella sp,Cymbella,Bacillariophyte,Diatoms
Cymbella sp (large),Cymbella,Bacillariophyte,Diatoms
Cymbella sp (medium),Cymbella,Bacillariophyte,Diatoms
Cymbella sp (small),Cymbella,Bacillariophyte,Diatoms
Cymbella sp1,Cymbella,Bacillariophyte,Diatoms
Cymbella sp2,Cymbella,Bacillariophyte,Diatoms
Denticula sp,Denticula,Bacillariophyte,Diatoms
Diatoma elongatum,Diatoma,Bacillariophyte,Diatoms
Diatoma hiemale,Diatoma,Bacillariophyte,Diatoms
Diatoma moniliformis,Diatoma,Bacillariophyte,Diatoms
Diatoma sp,Diatoma,Bacillariophyte,Diatoms
Diatoma tenuis,Diatoma,Bacillariophyte,Diatoms
Diatoma tenuis var elongata,Diatoma,Bacillariophyte,Diatoms
Diatoma vulgare,Diatoma,Bacillariophyte,Diatoms
Diatoma vulgaris,Diatoma,Bacillariophyte,Diatoms
Epithemia sp,Epithemia,Bacillariophyte,Diatoms
Eunotia sp,Eunotia,Bacillariophyte,Diatoms
Eunotia sp (medium),Eunotia,Bacillariophyte,Diatoms
Eunotia sp (small),Eunotia,Bacillariophyte,Diatoms
Eunotia sp 1,Eunotia,Bacillariophyte,Diatoms
Fragilaria acus,Fragilaria,Bacillariophyte,Diatoms
Fragilaria acus var1,Fragilaria,Bacillariophyte,Diatoms
Fragilaria acus var2,Fragilaria,Bacillariophyte,Diatoms
Fragilaria angustissima,Fragilaria,Bacillariophyte,Diatoms
Fragilaria capucina,Fragilaria,Bacillariophyte,Diatoms
Fragilaria construens,Fragilaria,Bacillariophyte,Diatoms
Fragilaria construens var 1,Fragilaria,Bacillariophyte,Diatoms
Fragilaria construens var2,Fragilaria,Bacillariophyte,Diatoms
Fragilaria construens var3,Fragilaria,Bacillariophyte,Diatoms
Fragilaria crotonensis,Fragilaria,Bacillariophyte,Diatoms
Fragilaria sp,Fragilaria,Bacillariophyte,Diatoms
Fragilaria sp 1,Fragilaria,Bacillariophyte,Diatoms
