EMS_ID,MONITORING_LOCATION,LATITUDE,LONGITUDE,LOCATION_TYPE,COLLECTION_START,LOCATION_PURPOSE,PERMIT,SAMPLE_CLASS,SAMPLE_STATE,SAMPLE_DESCRIPTOR,PARAMETER_CODE,PARAMETER,ANALYTICAL_METHOD_CODE,ANALYTICAL_METHOD,RESULT_LETTER,RESULT,UNIT,METHOD_DETECTION_LIMIT,QA_INDEX_CODE,UPPER_DEPTH,LOWER_DEPTH
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,0004,pH,X330,Meter,NA,7.9,pH,0.1,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,0015,Turbidity,XM08,Nephelometer,NA,0.2,NTU,0.1,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,0102,Alkalinity Total 4.5,X310,Auto Potentiometric Titration,NA,65.3,mg/L,1,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,0103,Carbon Total Organic,X067,TOC Analyzer,NA,1.3,mg/L,0.5,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,0108,Nitrogen Ammonia Total,NH3F,NH3-F-VA,<,0.005,mg/L,0.005,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,0114,Nitrogen Total,F005,K/Persulphate Dig;Red'n;Col'm,NA,0.232,mg/L,0.03,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,0124,Carbon Total Inorganic,X171,Carbon Anal.;Infra Red,NA,16.2,mg/L,0.5,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,1109,Nitrate(NO3) + Nitrite(NO2) Dissolved,X044,Ion Chromatography,NA,0.179,mg/L,0.0032,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,1110,Nitrate (NO3) Dissolved,X044,Ion Chromatography,NA,0.179,mg/L,0.003,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,1111,Nitrogen - Nitrite Dissolved (NO2),X044,Ion Chromatography,<,0.001,mg/L,0.001,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,1118,Phosphorus Ort.Dis-P,1380,Auto.Ascorbic Acid,<,0.001,mg/L,0.001,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,1120,Silica Reactive Diss,X160,Auto Molybdate-Blue Col.(Ascorbic),NA,5,mg/L,0.5,B,0,20
E216949,KOOTENAY LAKE AT JOHNSON`S LANDING (KLF 1),50.1559,-116.9233,LAKE OR POND,2018-04-09T23:24:00Z,TREND,NA,Regular,Fresh Water,General,C--T,Carbon Total,CS01,System Calculation,NA,17.5,mg/L,NA,B,0,20
